"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","shouldDisplayLanguagesDropdownAndNotBeEmpty","Smoke Suite","2025-12-22","passed","2025-12-22","prestashop.tests.smoke.mainPage.NavigationTest","Smoke Tests","prestashop.tests.smoke.mainPage.NavigationTest","shouldDisplayLanguagesDropdownAndNotBeEmpty"
"","79","shouldDisplaySubMenuUnderAccessories","Smoke Suite","2025-12-22","passed","2025-12-22","prestashop.tests.smoke.mainPage.NavigationTest","Smoke Tests","prestashop.tests.smoke.mainPage.NavigationTest","shouldDisplaySubMenuUnderAccessories"
"","71","shouldNotDisplaySubMenuUnderArt","Smoke Suite","2025-12-22","passed","2025-12-22","prestashop.tests.smoke.mainPage.NavigationTest","Smoke Tests","prestashop.tests.smoke.mainPage.NavigationTest","shouldNotDisplaySubMenuUnderArt"
"","65","shouldDisplaySubMenuUnderClothes","Smoke Suite","2025-12-22","passed","2025-12-22","prestashop.tests.smoke.mainPage.NavigationTest","Smoke Tests","prestashop.tests.smoke.mainPage.NavigationTest","shouldDisplaySubMenuUnderClothes"
"","132","shouldDisplayNameAndPriceForEachPopularProduct","Smoke Suite","2025-12-22","passed","2025-12-22","prestashop.tests.smoke.mainPage.PopularProductsTest","Smoke Tests","prestashop.tests.smoke.mainPage.PopularProductsTest","shouldDisplayNameAndPriceForEachPopularProduct"
