"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","shouldDisplaySubscribeButtonTextInUppercase","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.mainPage.SubscribeTest","Functional Tests","prestashop.tests.functional.mainPage.SubscribeTest","shouldDisplaySubscribeButtonTextInUppercase"
"","2954","Sorting: Price, high -> low - descending by price","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.allProducts.SortingTest","Functional Tests","prestashop.tests.functional.allProducts.SortingTest","shouldSortProductsByPriceDescending"
"","3018","Sorting: Name, A -> Z - list is alphabetically ascending","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.allProducts.SortingTest","Functional Tests","prestashop.tests.functional.allProducts.SortingTest","shouldSortProductsByNameAscending"
"","3140","Sorting: Price, low -> high - ascending by price","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.allProducts.SortingTest","Functional Tests","prestashop.tests.functional.allProducts.SortingTest","shouldSortProductsByPriceAscending"
"","3522","Sorting: Name, Z -> A - list is alphabetically descending","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.allProducts.SortingTest","Functional Tests","prestashop.tests.functional.allProducts.SortingTest","shouldSortProductsByNameDescending"
"","19","shouldDisplayCorrectNewsletterLabelText","Functional Suite","2025-12-22","passed","2025-12-22","prestashop.tests.functional.mainPage.SubscribeTest","Functional Tests","prestashop.tests.functional.mainPage.SubscribeTest","shouldDisplayCorrectNewsletterLabelText"
