"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Verify that the Subscribe button text is visually displayed in uppercase using CSS text-transform","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.footer.SubscribeTest","Surefire test","prestashop.tests.functional.footer.SubscribeTest","shouldDisplaySubscribeButtonTextInUppercase"
"","3590","Sorting: Name A → Z","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","95","Verify that the language selector dropdown is visible and contains at least one language","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplayLanguagesDropdownAndNotBeEmpty"
"","73","Verify that the ART menu does not contain any subcategories","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldNotDisplaySubMenuUnderArt"
"","129","Verify that each popular product on the main page has a displayed name and a valid price","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.PopularProductsTest","Surefire test","prestashop.tests.functional.mainPage.PopularProductsTest","shouldDisplayNameAndPriceForEachPopularProduct"
"","74","Verify that the ACCESSORIES menu contains at least one subcategory","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplaySubMenuUnderAccessories"
"","2511","Sorting: Price high → low","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","9","Verify that the newsletter label text matches the expected value","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.footer.SubscribeTest","Surefire test","prestashop.tests.functional.footer.SubscribeTest","shouldDisplayCorrectNewsletterLabelText"
"","3502","Sorting: Price low → high","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","2431","Sorting: Name Z → A","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","84","Verify that the CLOTHES menu contains at least one subcategory","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplaySubMenuUnderClothes"
